{'City': '0', 'TotalValue': '30'}
{'City': '1', 'TotalValue': '50'}
{'City': '2', 'TotalValue': '58'}
{'City': '3', 'TotalValue': '66'}
{'City': '4', 'TotalValue': '78'}
{'City': '5', 'TotalValue': '79'}
{'City': '6', 'TotalValue': '94'}
{'City': '7', 'TotalValue': '94'}
{'City': '8', 'TotalValue': '98'}
{'City': '9', 'TotalValue': '98'}
{'City': '10', 'TotalValue': '103'}
{'City': '11', 'TotalValue': '127'}
{'City': '12', 'TotalValue': '142'}
{'City': '13', 'TotalValue': '165'}
{'City': '14', 'TotalValue': '189'}
{'City': '15', 'TotalValue': '192'}
{'City': '16', 'TotalValue': '200'}
{'City': '17', 'TotalValue': '203'}
{'City': '18', 'TotalValue': '235'}
{'City': '19', 'TotalValue': '235'}
{'City': '20', 'TotalValue': '258'}
{'City': '21', 'TotalValue': '263'}
{'City': '22', 'TotalValue': '328'}
{'City': '23', 'TotalValue': '364'}
{'City': '24', 'TotalValue': '415'}
{'City': '25', 'TotalValue': '467'}
{'City': '26', 'TotalValue': '489'}
{'City': '27', 'TotalValue': '11'}
{'City': '28', 'TotalValue': '35'}
{'City': '29', 'TotalValue': '56'}
{'City': '30', 'TotalValue': '56'}
{'City': '31', 'TotalValue': '58'}
{'City': '32', 'TotalValue': '60'}
{'City': '33', 'TotalValue': '75'}
{'City': '34', 'TotalValue': '78'}
{'City': '35', 'TotalValue': '79'}
{'City': '36', 'TotalValue': '79'}
{'City': '37', 'TotalValue': '12777'}
{'City': '38', 'TotalValue': '79'}
{'City': '39', 'TotalValue': '94'}
{'City': '40', 'TotalValue': '101'}
{'City': '41', 'TotalValue': '101'}
{'City': '42', 'TotalValue': '103'}
{'City': '43', 'TotalValue': '118'}
{'City': '44', 'TotalValue': '122'}
{'City': '45', 'TotalValue': '127'}
{'City': '46', 'TotalValue': '142'}
{'City': '47', 'TotalValue': '156'}
{'City': '48', 'TotalValue': '165'}
{'City': '49', 'TotalValue': '192'}
{'City': '50', 'TotalValue': '206'}
{'City': '51', 'TotalValue': '214'}
{'City': '52', 'TotalValue': '227'}
{'City': '53', 'TotalValue': '228'}
{'City': '54', 'TotalValue': '229'}
{'City': '55', 'TotalValue': '234'}
{'City': '56', 'TotalValue': '258'}
{'City': '57', 'TotalValue': '258'}
{'City': '58', 'TotalValue': '263'}
{'City': '59', 'TotalValue': '274'}
{'City': '60', 'TotalValue': '276'}
{'City': '61', 'TotalValue': '283'}
{'City': '62', 'TotalValue': '283'}
{'City': '63', 'TotalValue': '307'}
{'City': '64', 'TotalValue': '337'}
{'City': '65', 'TotalValue': '338'}
{'City': '66', 'TotalValue': '364'}
{'City': '67', 'TotalValue': '394'}
{'City': '68', 'TotalValue': '419'}
{'City': '69', 'TotalValue': '438'}
